Name,Country_of_Operator,Operator_Owner,Users,Purpose,Class_of_Orbit,Type_of_Orbit,Perigee_km,Apogee_km,Eccentricity,Period_minutes,Launch_Mass_kg,Dry_Mass_kg,Power_watts,Date_of_Launch,Anticipated_Lifetime,Contractor,Country_of_Contractor,Launch_Site,Launch_Vehicle,Source_Used_for_Orbital_Data,longitude_radians_of_geo,Inclination_radians
ELISA-W11 (ELectronic Intelligence by SAtellite),France,DGA (Arms Procurement Agency)/Centre National d'Etudes Spatiales (CNES),Military,Electronic Intelligence/Technology Development,LEO,Polar,675,692,0.00121,98.43,120,NaN,NaN,40894,NaN,Astrium/Thales Alenia Space,France,Guiana Space Center,Soyuz 2/Fregat,Astronomy News,NaN,1.714087858
ELISA-W23 (ELectronic Intelligence by SAtellite),France,DGA (Arms Procurement Agency)/Centre National d'Etudes Spatiales (CNES),Military,Electronic Intelligence/Technology Development,LEO,Polar,677,692,0.00106,98.45,120,NaN,NaN,40894,NaN,Astrium/Thales Alenia Space,France,Guiana Space Center,Soyuz 2/Fregat,Astronomy News,NaN,1.714087858
EO-1 (Earth Observing 1),USA,NASA Earth Science Office,Government,Earth Observation/Research,LEO,Sun-Synchronous,678,690,0.00085,98.4,572,NaN,600,36851,5,Swales Aerospace,USA,Vandenberg AFB,Delta 2,www.satellitedebris.net 12/12,NaN,1.712167996
EOS-AM Terra,USA/Canada/Japan,Earth Sciences Enterprise (NASA),Government,Earth Science,LEO,Sun-Synchronous,702,703,7.00E-005,98.8,4854,NaN,2530,36512,6,TRW Space,USA,Vandenberg AFB,Atlas 2 AS,www.satellitedebris.net 12/12,NaN,1.713913325
EOS-CHEM Aura,USA,Goddard Space Flight Center/EOS Data and Operations System,Government,Remote Sensing,LEO,Sun-Synchronous,702,703,7.00E-005,98.8,2967,NaN,4600,38183,5,TRW,USA,Vandenberg AFB,Delta 2,www.satellitedebris.net 12/12,NaN,1.713913325
"EOS-PM Aqua (Advanced Microwave Scanning Radiometer for EOS, EOS PM-1)",USA/Japan/Brazil,NASA - Earth Science Enterprise/Japan Meteorological Agency/Brazilian Space Agency,Government,Earth Observation,LEO,Sun-Synchronous,701,704,0.00021,98.8,2934,2832,4860,37380,6,NASA/Jet Propulsion Laboratory/Japan Aerospace Exploration Agency/Equatorial Systems (Brazil),USA/Japan/Brazil,Vandenberg AFB,Delta,www.satellitedebris.net 12/12,NaN,1.713913325
EROS A1 (Earth Resources Observation Satellite),Israel,"ImageSat International, NV/Ministry of Defense",Military/Commercial,Remote Sensing,LEO,Sun-Synchronous,530,547,0.00123,95.4,240,NaN,NaN,36865,6,Israel Aircraft Industries (IAI),Israel,Svobodny Cosmodrome,Start 1,www.satellitedebris.net 12/12,NaN,1.70344135
EROS B1 (Earth Resources Observation Satellite),Israel,"ImageSat International, NV/Ministry of Defense",Military/Commercial,Remote Sensing,LEO,Sun-Synchronous,508,514,0.00044,94.8,350,NaN,800,38832,10,Israel Aircraft Industries (IAI),Israel,Svobodny Cosmodrome,Start 1,www.satellitedebris.net 12/12,NaN,1.699950691
e-st@r,Italy,Politecnico di Torino,Civil,Technology Development,Elliptical,NaN,306,1313,0.07013,101.08,NaN,1,NaN,40952,1,Politecnico di Torino,Italy,Guiana Space Center,Vega,SC - ASCR,NaN,1.212654764
EstCube-1,Estonia,University of Tartu,Civil,Technology Development,LEO,Sun-Synchronous,658,671,0.00092,98.03,1,NaN,NaN,41401,1,University of Tartu,Estonia,Guiana Space Center,Vega,SC - ASCR,NaN,1.712691595
Eurasiasat 1 (Turksat 2A),Turkey/France,Eurasiasat SAM/Alcatel Space,Commercial,Communications,GEO,NaN,35761,35810,0.00058,1436.06,3535,1900,9000,36901,15,Alcatel Space Industries,France,Guiana Space Center,Ariane 4,JM/12_08,0.734434549,0.000349066
"Europe*Star 1 (Intelsat 12, Europe*Star FM1, IS-12, PAS-12)",Multinational,Europe*Star (Altacel Loral Global Alliance),Commercial,Communications,GEO,NaN,35776,35796,0.00024,1436.09,4167,1729,12000,36828,18,Alcatel Space Industries,France,Guiana Space Center,Ariane 44LP,JM/12_08,0.786096295,0
Eutelsat 10A (Eutelsat W-2A),Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,NaN,35781,35822,0.00049,1436.09,5900,NaN,NaN,39906,15,Alcatel Alenia Space,France,Baikonur Cosmodrome,Proton M,JM/7_09,0.174532925,0.000523599
Eutelsat 12 West A (Atlantic Bird 1),Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,NaN,35768,35805,0.00044,1436.1,2700,1550,5100,37496,15,Alenia Spazio,Italy,Guiana Space Center,Ariane 5G,JM/12_08,-0.216944426,0.001919862
Eutelsat 16A (Eutelsat W3C),Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,NaN,35779,35795,0.00019,1436.12,5400,NaN,NaN,40823,NaN,Thales Alenia Space,France,Xichang Satellite Launch Center,Long March 3B,JM/1_12,0.27925268,0.003490659
"Eutelsat 16B (Eurobird 16, Atlantic Bird 4, Hot Bird 4)",Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,NaN,35762,35810,0.00057,1436.1,2885,1310,6000,35853,14,Matra Marconi Space (Astrium),France/UK/Germany,Guiana Space Center,Ariane 4,JM/12_08,-0.125489173,0.000349066
"Eutelsat 16C (SESAT-1, Siberia-Europe Satellite)",Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,NaN,35754,35817,0.00075,1436.06,2500,NaN,5600,36633,NaN,Alcatel Space/NPO PM (Applied Mechanics),France/Russia,Baikonur Cosmodrome,Proton K,JM/12_08,0.627620399,0.00122173
"Eutelsat 172A (GE-23, AMC-23, Worldsat 3, Americom 23)",Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,NaN,35772,35799,0.00032,1436.1,5000,NaN,13000,38715,16,Alcatel Alenia Space,France/Italy,Baikonur Cosmodrome,Proton M,JM/12_08,3.003013511,0.000174533
"Eutelsat 48C (Eutelsat 21A, W-6, Eutelsat W-3)",Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,NaN,35770,35802,0.00038,1436.09,2490,1380,5800,36262,12,Alcatel Space Industries,France,Guiana Space Center,Ariane 4,JM/12_08,0.837758041,0.00122173
Eutelsat 25B (EsÕhail 1),Multinational,European Telecommunications Satellite Consortium (EUTELSAT)/Es'hailSat,Commercial,Communications,GEO,NaN,35725,35767,5.00E-004,1434.03,NaN,NaN,NaN,41515,15,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,ZARYA,0.445058959,0.001396263
"Eutelsat 25C (Eutelsat 70A, Eutelsat W-5)",Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,NaN,35780,35790,0.00012,1436.04,3170,1900,5900,37580,12,Alcatel Space Industries,France,Cape Canaveral,Atlas 2 AS,JM/12_08,0.445058959,0.000349066
"Eutelsat 28A (Eurobird 1, Eurosat 1)",Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,NaN,35788,35794,7.00E-005,1436.1,2950,1375,5900,36958,12,Alcatel Space Industries,France,Guiana Space Center,Ariane 5,JM/12_08,0.498466034,0.00122173
"Eutelsat 33A (Eurobird 3, E-bird)",Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,NaN,35781,35790,0.00011,1436.06,1525,1300,1600,37891,10,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 5,JM/12_08,0.578402114,0.000872665
Eutelsat 36A (Eutelsat W-4),Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,NaN,35766,35806,0.00047,1436.08,3190,1380,6000,36670,12,Alcatel Space Industries,France,Cape Canaveral,Atlas 3A,JM/12_08,0.629889327,0.00122173
Eutelsat 36B (Eutelsat W-7),Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,NaN,35786,35787,1.00E-005,1436.09,5600,NaN,13200,40141,15,Thales Alenia Space,France,Baikonur Cosmodrome,Breeze M,SC - ASCR,0.628318531,0.00122173
"Eutelsat 3A (Sinosat-5C, Sinosat-3, Xinnuo 3, Chinasat-5C, XN-3)",Multinational,Eutelsat (leased from Chinasat),Commercial,Communications,GEO,NaN,35778,35793,0.00018,1436.08,2200,NaN,NaN,39233,8,Chinese Academy of Space Technology (CAST),China (PR),Xichang Satellite Launch Center,Long March 3A,JM/12_08,0.027925268,0.000174533
"Eutelsat Hot Bird  13D (Eutelsat 3C, Hot Bird 10, Atlantic Bird 4A)",Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,NaN,35766,35806,0.00047,1436.07,4892,2240,11000,39855,15,EADS Astrium,France,Guiana Space Center,Ariane 5 ECA,SC - ASCR,-0.00122173,0.001047198
Eutelsat 3D,Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,NaN,35784,35794,0.00012,1436.21,5404,NaN,NaN,41408,15,Thales Alenia Space,France,Baikonur Cosmodrome,Proton M,ZARYA,0.052359878,0.000523599
"Eutelsat 48A (Eutelsat W-48, Eurobird 9, Hot Bird 2, Eutelsat 2-F8, Eutelsat HB2)",Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,NaN,35757,35815,0.00069,1436.07,2915,1700,NaN,35390,14,Matra Marconi Space (Astrium),France/UK/Germany,Cape Canaveral,Delta 2,JM/12_08,0.158475896,0.001396263
"Eutelsat 48B (Eutelsat 21B, Eutelsat W-6A)",Multinational,European Telecommunications Satellite Cosorrtium (EUTELSAT),Commercial,Communications,GEO,NaN,35777,35797,0.00024,1436.12,5102,2060,NaN,41223,15,Thales Alenia Space,Italy,Guiana Space Center,Ariane 5 ECA,SC - ASCR,0.837758041,0.001570796
"Eutelsat 5 West A (Atlantic Bird 3, Stellat 5)",Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,NaN,35769,35805,0.00043,1436.08,4050,1805,11000,37442,15,Alcatel Space Industries,France,Guiana Space Center,Ariane 5,JM/12_08,-0.086044732,0.000698132
Eutelsat 7 West A (Atlantic Bird 7),Multinational,European Telecommunications Satellite Consoritum (EUTELSAT)/Nilesat,Commercial,Communications,GEO,NaN,35774,35799,3.00E-004,1436.09,4600,NaN,12000,40810,15,Astrium,France,Sea Launch (Odyssey),Zenit 3SL,JM/1_12,-0.122173048,0.001047198
Eutelsat 70B (Eutelsat W5A),Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,NaN,35780,35800,0.00024,1436.28,5250,NaN,NaN,41246,15,EADS Astrium,France,Sea Launch (Odyssey),Zenit 3SL,SC - ASCR,1.221730476,0.001047198
Eutelsat 7A (Eutelsat W3A),Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,NaN,35769,35802,0.00039,1436.07,4300,2000,NaN,38061,15,Astrium,France,Baikonur Cosmodrome,Proton M,JM/12_08,0.123220245,0.001047198
Eutelsat 8 West A (Atlantic Bird 2),Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,NaN,35766,35806,0.00047,1436.1,3150,1368,7400,37159,15,Alcatel Space Industries,France,Guiana Space Center,Ariane 4,JM/12_08,-0.141197136,0.001047198
"Eutelsat 9A (Eurobird 9A, Hot Bird 7A)",Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,NaN,35775,35799,0.00028,1436.1,4100,1740,10000,38787,15,Alcatel Alenia Space,France,Guiana Space Center,Ariane 5,JM/12_08,-0.523773309,0.00122173
"Eutelsat 8 West C (Eutelsat Hot Bird 13A, Hot Bird 6)",Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,NaN,35756,35815,7.00E-004,1436.06,3800,1900,9000,37496,12,Alcatel Space Industries,France,Cape Canaveral,Atlas 5,JM/12_08,0.13962634,0.001570796
Eutelsat Hot Bird 13B (Hot Bird 8),Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,NaN,35759,35812,0.00063,1436.06,4900,NaN,14000,38933,15,EADS Space,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M/Breeze M,JM/12_08,0.228289066,0.000349066
Eutelsat Hot Bird 13C (Hot Bird 9),Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,NaN,35786,35787,1.00E-005,1436.09,4880,2338,14500,39802,15,EADS Astrium,France,Guiana Space Center,Ariane 5,JM/12_08,0.01727876,0.001047198
Eutelsat KA-SAT 9A (KA-SAT),Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,NaN,35714,35856,0.00168,1436.01,6150,3200,11000,40538,15,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton,SC - ASCR,0.157079633,0.002268928
exactView 1,Canada,exactEarth,Commercial,Maritime Tracking,LEO,Sun-Synchronous,806,821,0.00104,101.2,100,NaN,NaN,41112,NaN,Surrey Satellite Technologies Ltd.,United Kingdom,Baikonur Cosmodrome,Soyuz-Fregat,www.satellitedebris.net 12/12,NaN,1.727875959
Express AM22 (Sesat 2),Russia/Multinational,Russian Satellite Communications Company (Intersputnik)/EUTELSAT,Commercial,Communications,GEO,NaN,35781,35790,0.00011,1436.06,2600,NaN,6000,37983,12,NPO-PM/Alcatel,Russia/France,Baikonur Cosmodrome,Proton K,JM/12_08,0.925722635,0.000349066
Express-2A (Ekspress A No. 2),Russia,Russian Satellite Communications Company (Intersputnik),Commercial,Communications,GEO,NaN,35783,35790,8.00E-005,1436.11,2600,NaN,2500,36597,10,NPO-PM/Alcatel,Russia,Baikonur Cosmodrome,Proton K,JM/12_08,1.794198471,0.047996554
"Express-A1R (Express 4A, Ekspress-A No. 4)",Russia,Russian Satellite Communications Company (Intersputnik),Commercial,Communications,GEO,NaN,35774,35798,0.00028,1436.1,2600,NaN,6000,37417,0.5,NPO-PM/Alcatel,Russia,Baikonur Cosmodrome,Proton K,JM/12_08,0.243822497,0.000349066
Express-AM2,Russia,Russian Satellite Communications Company (Intersputnik),Commercial,Communications,GEO,NaN,35785,35788,4.00E-005,1436.1,2542,NaN,6000,38440,12,NPO-PM/Alcatel,Russia/France,Baikonur Cosmodrome,Proton K,JM/12_08,1.396787,0.000698132
Express-AM3,Russia,Russian Satellite Communications Company (Intersputnik),Commercial,Communications,GEO,NaN,35777,35795,0.00021,1436.1,2600,NaN,4200,38527,12,NPO-PM/Alcatel,Russia/France,Baikonur Cosmodrome,Proton K,JM/12_08,2.446428013,0.001570796
Express-AM33,Russia,Russian Satellite Communications Company (Intersputnik),Commercial,Communications,GEO,NaN,35782,35791,0.00011,1436.1,2600,NaN,NaN,39475,12,NPO-PM/Thales Alenia Space,Russia/France,Baikonur Cosmodrome,Proton M,JM/12_08,1.684766327,0.000872665
Express-AM44,Russia,Russian Satellite Communications Company (Intersputnik),Commercial,Communications,GEO,NaN,35987,35995,9.00E-005,1446.57,2532,NaN,NaN,39855,12,NPO-PM/Thales Alenia Space,Russia/France,Baikonur Cosmodrome,Proton M,SC - ASCR,-0.191986218,0.001919862
Express-AM5,Russia,Russian Satellite Communications Company (Intersputnik),Commercial,Communications,GEO,NaN,35420,35940,0.00618,1430.6,3400,NaN,NaN,41634,15,OAO-ISS,Russia,Baikonur Cosmodrome,Proton M,SC - ASCR,2.443460953,0.001396263
Falconsat-3,USA,US Air Force Academy,Civil/Military,Technology Development,LEO,NaN,538,540,0.00014,95.4,46,NaN,NaN,39150,NaN,US Air Force Academy,USA,Cape Canaveral,Atlas 5,www.satellitedebris.net 12/12,NaN,0.617846555
"FAST 1 (Sara Lilly and Emma, USA 222)",USA,University of Texas - Austin,Civil,Technology Development,LEO,Sun-Synchronous,627,654,0.00193,97.54,55,NaN,NaN,40502,NaN,University of Texas - Austin,USA,Kodiak Launch Complex,Minotaur 4,SC - ASCR,NaN,1.256113463
Fengniao 1 (Hummingbird 1),China (PR),Chinese Academy of Space Technology (CAST),Government,Technology Development,LEO,NaN,488,500,0.00087,94.49,NaN,NaN,NaN,41233,NaN,NaN,China (PR),Taiyuan Launch Center,Long March 2C,ZARYA,NaN,1.699078027
Fengniao 1A (Hummingbird 1A),China (PR),Chinese Academy of Space Technology (CAST),Government,Technology Development,LEO,NaN,488,500,0.00087,94.49,NaN,NaN,NaN,41233,NaN,NaN,China (PR),Taiyuan Launch Center,Long March 2C,ZARYA,NaN,1.699078027
Fengyun 2D (FY-2D),China (PR),China Meteorological Administration,Government,Earth Science,GEO,NaN,35777,35791,0.00017,1436,1390,620,NaN,39059,3,China Aerospace Corporation,China (PR),Xichang Satellite Launch Center,Long March 3A,JM/12_08,1.509884336,0.013439035
Fengyun 2E (FY-2E),China (PR),China Meteorological Administration,Government,Earth Science,GEO,NaN,35767,35803,0.00043,1436.04,1390,620,NaN,39805,3,Shanghai Academy of Space Flight Technology,China (PR),Xichang Satellite Launch Center,Long March 3A,JM/12_08,2.157052423,0.045553093
Fengyun 2F (FY-2F),China (PR),China Meteorological Administration,Government,Earth Science,GEO,NaN,35760,35816,0.00066,1436.19,1390,620,NaN,40920,3,Shanghai Academy of Space Flight Technology,China (PR),Xichang Satellite Launch Center,Long March 3A,JM/5_12,1.832595715,0.038222711
Fengyun 3A (FY-3A),China (PR),China Meteorological Administration,Government,Earth Science,LEO,Sun-Synchronous,820,835,0.00104,101.5,2300,NaN,NaN,39595,NaN,Shanghai Academy of Space Flight Technology,China (PR),Taiyuan Launch Center,Long March 4C,www.satellitedebris.net 12/12,NaN,1.720894642
Fengyun 3B (FY-3B),China (PR),China Meteorological Administration,Government,Earth Science,LEO,Sun-Synchronous,827,828,7.00E-005,101.5,2300,NaN,NaN,40486,NaN,Shanghai Academy of Space Flight Technology,China (PR),Taiyuan Launch Center,Long March 4C,www.satellitedebris.net 12/12,NaN,1.724385301
Fengyun 3C (FY-3C),China (PR),China Meteorological Administration,Government,Earth Science,LEO,NaN,827,828,7.00E-005,101.45,2300,NaN,NaN,41540,NaN,Shanghai Academy of Space Flight Technology,China (PR),Taiyuan Launch Center,Long March 4C,ZARYA,NaN,1.724559834
Fermi Gamma-Ray Space Telescope (formerly GLAST),USA,NASA/GSFC,Government,Astrophysics,LEO,NaN,537,556,0.00137,95.6,4303,NaN,NaN,39610,NaN,General Dynamics,USA,Cape Canaveral,Delta 2,www.satellitedebris.net 12/12,NaN,0.446804289
"FIA Radar 1 (Future Imagery Architecture (FIA) Radar 1, NROL-41, USA 215, Topaz)",USA,National Reconnaissance Office (NRO),Military,Reconnaissance,LEO,NaN,1101,1107,4.00E-004,107.35,NaN,NaN,NaN,40442,NaN,National Reconnaissance Office (NRO),USA,Vandenberg AFB,Atlas 5,SC - ASCR,NaN,2.146580447
"FIA Radar 2 (Future Imagery Architecture (FIA) Radar 2, NROL-25, USA 234, Topaz)",USA,National Reconnaissance Office (NRO),Military,Reconnaissance,LEO,NaN,1068,1107,0.00261,107,NaN,NaN,NaN,41002,NaN,National Reconnaissance Office (NRO),USA,Vandenberg AFB,Delta 4,NaN,NaN,2.14675498
"FIA Radar 3 (Future Imagery Architecture (FIA) Radar 3, NROL-39 , USA 247, Topaz)",USA,National Reconnaissance Office (NRO),Military,Reconnaissance,LEO,NaN,1066,1081,0.00101,106.7,NaN,NaN,NaN,41614,NaN,National Reconnaissance Office (NRO),USA,Vandenberg AFB,Atlas 5,ZARYA estimated,NaN,2.14675498
"Firebird-A (Focused Investigations of Relativistic Electron Burst, Intensity, Range, and Dynamics)",USA,"Firebird Consortium (Montana State Univ., Univ. of New Hampshire, Aerospace Corp., Los Alamos National Laboratory)",Civil/Government,Space Science,LEO,NaN,443,886,0.03149,98,2,NaN,NaN,41614,3,Montana State University,USA,Vandenberg AFB,Atlas 5,ZARYA,NaN,2.09963109
"Firebird-B (Focused Investigations of Relativistic Electron Burst, Intensity, Range, and Dynamics)",USA,"Firebird Consortium (Montana State Univ., Univ. of New Hampshire, Aerospace Corp., Los Alamos National Laboratory)",Civil/Government,Space Science,LEO,NaN,443,886,0.03149,98,2,NaN,NaN,41614,3,Montana State University,USA,Vandenberg AFB,Atlas 5,ZARYA,NaN,2.09963109
Firefly,USA,NASA/Sienna College/Univ. of Maryland,Government/Civil,Earth Science,LEO,NaN,500,506,0.00044,94.68,3,NaN,NaN,41597,1,National Science Foundation,USA,Wallops Island Flight Facility,Minotaur 1,ZARYA,NaN,0.70703288
FLTSATCOM-8 (USA 46),USA,US Navy,Military,Communications,GEO,NaN,35745,35829,0.001,1436.13,2310,1884,NaN,32776,5,"TRW, Defense and Space Systems Group",USA,Cape Canaveral,Atlas Centaur,JM/2_09,-0.257261532,0.156556034
"Formosat-2 (ROCSAT-2, Republic of China Satellite 2)",Taiwan,National Space Program Office (NSPO),Government/Military,Remote Sensing,LEO,Sun-Synchronous,890,893,0.00021,102.8,764,631,600,38128,5,Astrium/NSPO,France/UK/Germany/Taiwan,Vandenberg AFB,Taurus XL,www.satellitedebris.net 12/12,NaN,1.727875959
FORT (Fast On-orbit Recording of Transient Events),USA,Los Alamos National Labs/DOE,Government,Earth Observation,LEO,Intermediate,790,823,0.0023,101,215,41,55,35671,3,Los Alamos National Lab/Sandia National Lab,USA,Vandenberg AFB,Pegasus XL,www.satellitedebris.net 12/12,NaN,1.221730476
FUNCube-1 (AO-73),Netherlands,AMSAT-UK,Civil,Communications,LEO,NaN,594,683,0.00635,97.4,1,NaN,NaN,41599,NaN,AMSAT/UK-AMSAT/NL,UK/Netherlands,Dombarovsky Launch Facility,Dnepr,ZARYA,NaN,1.706932008
Galaxy-11,USA,"PanAmSat (Intelsat, Ltd.)",Commercial,Communications,GEO,NaN,35785,35795,0.00012,1436.11,4488,2775,10400,36181,14,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 4,NaN,-0.968657735,0.000872665
Galaxy-12,USA,"PanAmSat (Intelsat, Ltd.)",Commercial,Communications,GEO,NaN,35775,35796,0.00025,1436.07,1760,800,NaN,37720,15,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5,JM/12_08,-2.145009651,0.000872665
"Galaxy-13 (Horizons 1, Galaxy 13L)",USA/Japan,"PanAmSat (Intelsat, Ltd.)/Sky Perfect JSAT Corp.",Commercial,Communications,GEO,NaN,35781,35790,0.00011,1436.07,4060,2630,8600,37895,15,Boeing Satellite Systems,USA,Sea Launch (Odyssey),Zenit 3,JM/12_08,-2.216044551,0.000174533
Galaxy-14,USA,"PanAmSat (Intelsat, Ltd.)",Commercial,Communications,GEO,NaN,35776,35795,0.00023,1436.07,2086,NaN,4700,38577,15,Orbital Sciences Corp.,USA,Baikonur Cosmodrome,Soyuz-Fregat,JM/12_08,-2.180963433,0.000174533
Galaxy-15,USA,"PanAmSat (Intelsat, Ltd.)",Commercial,Communications,GEO,NaN,35776,35795,0.00023,1436.07,2033,NaN,4700,38638,15,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5,JM/12_08,-2.320764306,0.001047198
Galaxy-16,USA,"PanAmSat (Intelsat, Ltd.)",Commercial,Communications,GEO,NaN,35775,35798,0.00027,1436.1,4640,NaN,10000,38886,15,Space Systems/Loral,USA,Sea Launch (Odyssey),Zenit 3SL,JM/12_08,-1.728225025,0.000174533
Galaxy-17,USA,"Intelsat, Ltd.",Commercial,Communications,GEO,NaN,35774,35799,3.00E-004,1436.1,4100,NaN,9500,39206,15,Thales Alenia Space,France/Italy,Guiana Space Center,Ariane 5 ECA,JM/12_08,-1.588424152,0.000349066
Galaxy-18,USA,"Intelsat, Ltd.",Commercial,Communications,GEO,NaN,35774,35798,0.00028,1436.1,4642,NaN,NaN,39589,15,Space Systems/Loral,USA,Sea Launch (Odyssey),Zenit 3SL,JM/12_08,-2.147104046,0.000349066
Galaxy-19,USA,"Intelsat, Ltd.",Commercial,Communications,GEO,NaN,35776,35796,0.00024,1436.1,4690,NaN,NaN,39715,15,Space Systems/Loral,USA,Sea Launch (Odyssey),Zenit 3SL,JM/12_08,-1.694365638,0.000872665
"Galaxy-25 (G-25, Intelsat 1A-5, Telstar 5)",USA,"Intelsat, Ltd.",Commercial,Communications,GEO,NaN,35771,35801,0.00036,1436.08,3515,NaN,NaN,35574,13,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton K,JM/12_08,-1.624727001,0.000523599
"Galaxy-26 (G-26, Intelsat 1A-6, Telstar 6)",USA,"Intelsat, Ltd.",Commercial,Communications,GEO,NaN,35778,35795,2.00E-004,1436.11,3765,1469,8100,36206,13,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton K,JM/12_08,-1.623330737,0.000174533
"Galaxy-27 (G-27, Intelsat IA-7, Telstar 7)",USA,"Intelsat, Ltd.",Commercial,Communications,GEO,NaN,35776,35794,0.00021,1436.06,3790,1537,NaN,36428,13,Space Systems/Loral,USA,Guiana Space Center,Ariane 44LP,JM/12_08,-2.250253005,0
"Galaxy-28 (G-28, Intelsat IA-8, Telstar 8)",USA,"Intelsat, Ltd.",Commercial,Communications,GEO,NaN,35775,35798,0.00027,1436.1,5493,NaN,16000,38526,13,Space Systems/Loral,USA,Sea Launch (Odyssey),Zenit 3SL,JM/12_08,-1.552644903,0.000174533
Galaxy-3C,USA,"PanAmSat (Intelsat, Ltd.)",Commercial,Communications,GEO,NaN,35784,35788,5.00E-005,1436.11,4860,2873,18000,37422,15,Boeing Satellite Systems,USA,Sea Launch (Odyssey),Zenit 3SL,JM/12_08,-1.658411855,0.000174533
Galileo IOV-1 FM2,ESA,European Space Agency,Commerical,Navigation/Global Positioning,MEO,NaN,23242,23307,0.0011,846.98,700,NaN,1420,40837,12,Astrium/Thales Alenia Space,Germany/UK/Italy,Guiana Space Center,Soyuz-Fregat,SC - ASCR,NaN,0.954171502
Galileo IOV-1 PFM,ESA,European Space Agency,Commercial,Navigation/Global Positioning,MEO,NaN,23240,23306,0.00111,846.88,700,NaN,1420,40837,12,Astrium/Thales Alenia Space,Germany/UK/Italy,Guiana Space Center,Soyuz-Fregat,SC - ASCR,NaN,0.954346035
Galileo IOV-2 FM3,ESA,European Space Agency,Commercial,Navigation/Global Positioning,MEO,NaN,23214,23233,0.00032,844.76,700,NaN,1420,41194,12,EADS Astrium,Germany/UK/Italy,Guiana Space Center,Soyuz-Fregat,SC - ASCR,NaN,0.965865208
Galileo IOV-2 FM4,ESA,European Space Agency,Commercial,Navigation/Global Positioning,MEO,NaN,23217,23227,0.00017,844.69,700,NaN,1420,41194,12,EADS Astrium,Germany/UK/Italy,Guiana Space Center,Soyuz-Fregat,SC - ASCR,NaN,0.965167076
Gaofen 1,China (PR),Shanghai Academy of Spaceflight Technology (SAST),Government,Remote Sensing,LEO,NaN,630,654,0.00171,97.56,1000,NaN,NaN,41390,0.5,Shanghai Academy of Space Flight Technology,China (PR),Jiuquan Satellite Launch Center,Chang Zheng 2D,SC - ASCR,NaN,1.711644397
Garpun-1 (Cosmos 2473),Russia,Ministry of Defense,Military,Communications,GEO,NaN,35782,35790,9.00E-005,1436.1,5000,NaN,NaN,40806,NaN,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M,JM/1_12,1.394518072,0.001570796
Garuda-1 (Aces 1),Indonesia/Philippines/Thailand,Asia Cellular Satellite,Commercial,Communications,GEO,NaN,35774,35801,0.00032,1436.16,4291,2500,14000,36568,12,Lockheed Martin Missiles and Space,USA,Baikonur Cosmodrome,Proton,JM/12_08,2.147278579,0.021293017
